_meta.locale,en,ar,de-DE,es-419,es-ES,fr-FR,hi-IN,id,it-IT,ja-JP,km,ko-KR,pl-PL,pt-BR,vi-VN,zh-CN,ru-RU,uk-UA,tr
general.story_background_credits,"- Background image by {BACKGROUND_LINK}
- Modified and enhanced by {APP_NAME}","- صورة الخلفية من {BACKGROUND_LINK}

- تم تعديلها وتحسينها بواسطة {APP_NAME}","Hintergrundbild von {BACKGROUND_LINK}

Bearbeitet und erweitert von {APP_NAME}","- Imagen de fondo de {BACKGROUND_LINK}
- Modificada y mejorada por {APP_NAME}","- Imagen de fondo de {BACKGROUND_LINK}
- Modificada y mejorada por {APP_NAME}","- Image de fond par {BACKGROUND_LINK}

- Modifiée et améliorée par {APP_NAME}","- पृष्ठभूमि छवि {BACKGROUND_LINK} द्वारा
- {APP_NAME} द्वारा संशोधित और संवर्धित","- Gambar latar belakang oleh {BACKGROUND_LINK}
- Dimodifikasi dan disempurnakan oleh {APP_NAME}","- Immagine di sfondo di {BACKGROUND_LINK}
- Modificata e migliorata da {APP_NAME}","- 背景画像：{BACKGROUND_LINK}
- 修正・加工：{APP_NAME}","- រូបភាពផ្ទៃខាងក្រោយដោយ {BACKGROUND_LINK}
- កែប្រែ និងបង្កើនប្រសិទ្ធភាពដោយ {APP_NAME}","- 배경 이미지 제공: {BACKGROUND_LINK}
- {APP_NAME}님이 수정 및 개선했습니다.","- Obraz tła autorstwa {BACKGROUND_LINK}
- Zmodyfikowane i ulepszone przez {APP_NAME}","- Imagem de fundo por {BACKGROUND_LINK}
- Modificado e aprimorado por {APP_NAME}","- Hình nền bởi {BACKGROUND_LINK}
- Được chỉnh sửa và nâng cấp bởi {APP_NAME}","- 背景图片由 {BACKGROUND_LINK} 提供

- 由 {APP_NAME} 修改和增强","Хинтергрундбилд от {BACKGROUND_LINK}

Работа с приложением {APP_NAME}",- Зображення тла від {BACKGROUND_LINK}\n- Модифіковано та вдосконалено {APP_NAME},"- Arka plan resmi: {BACKGROUND_LINK}
- {APP_NAME} tarafından değiştirildi ve geliştirildi"
general.syncing,Syncing...,جارٍ المزامنة...,Synchronisierung...,Sincronizando...,Sincronizando...,Synchronisation...,सिंक हो रहा है...,Menyinkronkan...,Sincronizzazione...,同期中...,កំពុង​ធ្វើ​សមកាលកម្ម...,동기화 중...,Synchronizowanie...,Sincronizando...,Đang đồng bộ hóa...,正在同步...,Синхронизация...,Синхронізація...,Senkronize ediliyor...
general.system,System,اتبع النظام,Folgesystem,Seguir el sistema,Seguir el sistema,Système de suivi,अनुसरण प्रणाली,Ikuti Sistem,Segui il sistema,フォローシステム,អនុវត្តតាមប្រព័ន្ធ,팔로우 시스템,Śledź system,Siga o sistema,Theo dõi hệ thống,系统,Система,Система,Sistem
general.tag_category.activity_title,What did you do?,ماذا فعلت؟,Was hast du gemacht?,¿Qué hiciste?,¿Qué hiciste?,Qu'est-ce que tu as fait?,आपने क्या किया?,Apa yang kamu lakukan?,Che cosa hai fatto?,あなたは何をしましたか？,តើអ្នកបានធ្វើអ្វី?,너 무슨 짓을 한 거야?,Co zrobiłeś?,O que você fez?,Bạn đã làm gì?,你做了什么？,Что ты сделал?,Що ти зробив?,Ne yaptın?
general.tag_category.feeling_title,How are you feeling?,كيف تشعر؟,Wie fühlen Sie sich?,¿Cómo te sientes?,¿Cómo te sientes?,Comment te sens-tu?,तुम कैसा महसूस कर रहे हो?,Bagaimana perasaanmu?,Come ti senti?,ご気分はいかがですか？,តើអ្នកមានអារម្មណ៍យ៉ាងណាដែរ?,기분이 어떠세요?,Jak się czujesz?,Como você está se sentindo?,Bạn cảm thấy thế nào?,你感觉怎么样？,Как вы себя чувствуете?,Як ти себе почуваєш?,Nasıl hissediyorsun?
general.tag_category.weather_title,How’s the weather?,كيف حال الطقس؟,Wie ist das Wetter?,¿Qué tiempo hace?,¿Qué tiempo hace?,Quel temps fait-il ?,मौसम कैसा है?,Bagaimana cuacanya?,Com'è il tempo?,天気はどうですか？,អាកាសធាតុ​យ៉ាងម៉េច​ដែរ?,날씨 어때요?,Jaka pogoda?,Como está o tempo?,Thời tiết thế nào?,天气怎么样？,Какая погода?,Як погода?,Hava nasıl?
general.tags,Tags,العلامات,Schlagworte,Etiquetas,Etiquetas,Balises,टैग,Tag,Tag,タグ,ស្លាក,태그,Tagi,Etiquetas,Thẻ,标签,Теги,Теги,Etiketler
general.term_of_use,Term of Use,شروط الاستخدام,Nutzungsbedingungen,Condiciones de uso,Condiciones de uso,Conditions d'utilisation,उपयोग की शर्त,Ketentuan Penggunaan,Termini di utilizzo,利用規約,លក្ខខណ្ឌប្រើប្រាស់,이용 약관,Warunki użytkowania,Termos de Uso,Điều khoản sử dụng,使用条款,Условия Использования,Умови використання,Kullanım Şartları
general.text,Text,نص,Text,Texto,Texto,Texte,मूलपाठ,Teks,Testo,文章,អត្ថបទ,텍스트,Tekst,Texto,Chữ,文本,Текст,Текст,Metin
general.theme_mode.dark,Dark,مظلم,Dunkel,Oscuro,Oscuro,Sombre,अँधेरा,Gelap,Buio,ダークモード,ងងឹត,다크 모드,Ciemny,Escuro,Tối tăm,黑暗,Тёмная,Темна,Karanlık
general.theme_mode.light,Light,ضوء,Licht,Luz,Luz,Lumière,रोशनी,Lampu,Leggero,ライトモード,ពន្លឺ,라이트 모드,Światło,Luz,Ánh sáng,明亮,Светлая,Світла,Işık
general.theme_mode.system,System,نظام,System,Sistema,Sistema,Système,प्रणाली,Sistem,Sistema,システム設定,ប្រព័ន្ធ,시스템 설정,System,Sistema,Hệ thống,系统,Системная,Системна,Sistem
general.throwback,Throwback,ذكريات الماضي,Rückfall,Reversión,Reversión,Retour en arrière,पुनरावर्तन,Melempar ke belakang,Ritorno al passato,懐かしい,ការ​រំលឹក​ឡើង​វិញ,후퇴,Powrót do przeszłości,Retorno,Hồi tưởng,怀旧,Моменты,Спогад,Geçmişe dönüş
general.time_format,Time Format,تنسيق الوقت,Zeitformat,Formato de hora,Formato de hora,Format de l'heure,समय स्वरूप,Format Waktu,Formato ora,時刻形式,ទម្រង់ពេលវេលា,시간 형식,Format czasu,Formato de hora,Định dạng thời gian,时间格式,Формат Времени,Формат часу,Zaman Formatı
general.unknown,Unknown,مجهول,Unbekannt,Desconocido,Desconocido,Inconnu,अज्ञात,Tidak dikenal,Sconosciuto,不明,មិនស្គាល់,알 수 없음,Nieznany,Desconhecido,Không xác định,未知,Неизвестный,Невідомо,Bilinmiyor
general.updating,Updating...,جاري التحديث...,Aktualisierung...,Actualizando...,Actualizando...,Mise à jour...,अद्यतन हो रहा है...,Memperbarui...,Aggiornamento...,更新中...,កំពុងធ្វើបច្ចុប្បន្នភាព...,업데이트 중...,Aktualizowanie...,Atualizando...,Đang cập nhật...,正在更新...,Обновление...,Оновлення...,Güncelleniyor...
general.uploaded_to_args,Uploaded to {URL},تم الرفع إلى {URL},Hochgeladen auf {URL},Subido a {URL},Subido a {URL},Téléversé sur {URL},{URL} पर अपलोड किया गया,Diunggah ke {URL},Caricato su {URL},{URL} にアップロードされました,បង្ហោះទៅ {URL},{URL}에 업로드되었어요,Przesłano na adres {URL},Enviado para {URL},Đã tải lên {URL},已上传至 {URL},Загружено на {URL},Завантажено на {URL},{URL} adresine yüklendi.
general.user_type.free,Free,حر,Frei,Gratis,Gratis,Gratuit,मुक्त,Bebas,Gratuito,無料,ឥតគិតថ្លៃ,무료,Bezpłatny,Livre,Miễn phí,自由的,Фрай,Безкоштовний,Ücretsiz
general.user_type.pro,Pro,محترف,Pro,Pro,Pro,Pro,प्रो,Pro,Professionista,プロ,អ្នកជំនាញ,찬성,Zawodowiec,Pró,Chuyên nghiệp,专业版,Про,Професійний,Pro
general.word_count_args,Words: {WORDS_COUNT},عدد الكلمات: {WORDS_COUNT},Wörter: {WORDS_COUNT},Palabras: {WORDS_COUNT},Palabras: {WORDS_COUNT},Mots : {WORDS_COUNT},शब्द: {WORDS_COUNT},Jumlah Kata: {WORDS_COUNT},Parole: {WORDS_COUNT},単語数: {WORDS_COUNT},ពាក្យ៖ {WORDS_COUNT},단어 수: {WORDS_COUNT},Liczba słów: {WORDS_COUNT},Palavras: {WORDS_COUNT},Số từ: {WORDS_COUNT},字数：{WORDS_COUNT},Слова: {WORDS_COUNT},Слів: {WORDS_COUNT},Kelime sayısı: {WORDS_COUNT}
general.years,Years,سنين,Jahre,Años,Años,Années,साल,Bertahun-tahun,Anni,年,ឆ្នាំ,연도,Lata,Anos,Năm,年,Годы,Роки,Yıllar
input.message.already_exist,Already exist!,موجودة بالفعل!,Existiert bereits!,¡Ya existen!,¡Ya existen!,Existe déjà !,पहले से मौजूद है!,Sudah ada!,Esistono già!,すでに存在しています！,មានហើយ!,이미 있어요!,Już istnieje!,Já existe!,Đã tồn tại!,已存在！,Уже существует!,Вже існує!,Zaten mevcut!
input.message.incorrect,Incorrect,غير صحيح,Falsch,Incorrecto,Incorrecto,Incorrect,ग़लत,Salah,Errato,正しくない,មិនត្រឹមត្រូវ,잘못된,Błędny,Incorreto,Không đúng,不正确,Неправильный,Неправильно,Yanlış
input.message.invalid,Invalid,غير صالح,Ungültig,Inválido,Inválido,Invalide,अमान्य,Tidak sah,Non valido,無効です,មិនត្រឹមត្រូវ,유효하지 않아요,Nieważny,Inválido,Không hợp lệ,无效,Неверный,Недійсний,Geçersiz
input.message.required,Required,مطلوب,Erforderlich,Requerido,Requerido,Requis,आवश्यक,Diperlukan,Necessario,必須項目です,ទាមទារ,필수 항목이에요,Wymagany,Obrigatório,Yêu cầu,必须,Требуется,Необхідно,Gerekli
input.nickname.hint,Nickname...,كنية...,Spitzname...,Apodo...,Apodo...,Surnom...,उपनाम...,Nama panggilan...,Soprannome...,ニックネームを入力...,ឈ្មោះហៅក្រៅ...,별명 입력...,Przydomek...,Apelido...,Biệt danh...,昵称...,Ваше имя...,Псевдонім,Takma ad...
input.place_name.hint,"Coffee shop, park, museum...",مقهى، منتزه، متحف...,"Café, Park, Museum...","Cafetería, parque, museo...","Cafetería, parque, museo...","Café, parc, musée...","कॉफी शॉप, पार्क, संग्रहालय...","Kedai kopi, taman, museum...","Caffetteria, parco, museo...",コーヒーショップ、公園、美術館…,ហាងកាហ្វេ សួនច្បារ សារមន្ទីរ...,"커피숍, 공원, 박물관...","Kawiarnia, park, muzeum...","Cafeteria, parque, museu...","Quán cà phê, công viên, bảo tàng...",咖啡馆、公园、博物馆……,"Кофейня, парк, музей...","Кав'ярня, парк, музей...","Kahve dükkanı, park, müze..."
input.place_name.label,Place name,اسم المكان,Ortsname,Nombre del lugar,Nombre del lugar,Nom du lieu,जगह का नाम,Nama tempat,Nome del luogo,場所名,ឈ្មោះទីកន្លែង,장소 이름,Nazwa miejsca,Nome do local,Tên địa điểm,地点名称,Название места,Назва місця,Yer adı
input.story_search.hint,eg. My home,على سبيل المثال. منزلي,z.B. Mein Zuhause,p.ej. mi casa,p.ej. mi casa,par exemple. Ma maison,जैसे. मेरा घर,misalnya. Rumahku,per esempio. La mia casa,例えば：私の家,ឧ. ផ្ទះរបស់ខ្ញុំ,예: 우리 집,np. Mój dom,por exemplo. Minha casa,ví dụ. Nhà của tôi,例如：我的家,например: У меня дома,"Наприклад, Мій дім","Örneğin, evim."
input.tag.hint,eg. Personal,على سبيل المثال. شخصي,z.B. Persönlich,p.ej. Personal,p.ej. Personal,par exemple. Personnel,जैसे. निजी,misalnya. Pribadi,per esempio. Personale,例えば：日常,ឧ. ផ្ទាល់ខ្លួន,예: 일상,np. Osobisty,por exemplo. Pessoal,ví dụ. Riêng tư,例如：日常,например: Личное,"Наприклад, Особисте","Örneğin, Kişisel"
input.title.hint,Title...,عنوان...,Titel...,Título...,Título...,Titre...,शीर्षक...,Judul...,Titolo...,タイトルを入力...,ចំណងជើង...,제목 입력...,Tytuł...,Título...,Tiêu đề...,标题...,Заголовок...,Заголовок...,Başlık...
input.year.hint,eg. 2004,على سبيل المثال. 2004,z.B. 2004,p.ej. 2004,p.ej. 2004,par exemple. 2004,जैसे. 2004,misalnya. 2004,per esempio. 2004,例えば：2004年,ឧ. ២០០៤,예: 2004년,np. 2004,por exemplo. 2004,ví dụ. 2004,例如：2004,например 2004,"Наприклад, 2004","Örneğin, 2004"
list_tile.archived_at.title,Archived,مؤرشفة,Archiviert,Archivado,Archivado,Archivé,संग्रहीत,Diarsipkan,Archiviato,アーカイブ済み,ទុកក្នុងប័ណ្ណសារ,보관됨,Zarchiwizowane,Arquivado,Đã lưu trữ,已归档,Архивировано,Заархівовано,Arşivlendi
